study_id	analysis_id	sample_id	raw_file_name	raw_index	physical_specimen_key	analysis_group	pairing_candidate_id	pairing_basis	pairing_confidence	primary_model_role	acquisition_time_utc	acquisition_rank	acquisition_group_block	perfect_group_block	rank_group_correlation
ST003025	AN004960	27	27.CDF	27	ST003025::27.CDF	Normal_tissue	ST003025_candidate_11	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-07T05:40:02Z	27	2	TRUE	-0.866448577718212
ST003025	AN004960	28	28.CDF	28	ST003025::28.CDF	Normal_tissue	ST003025_candidate_12	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-07T05:56:01Z	28	2	TRUE	-0.866448577718212
ST003025	AN004960	29	29.CDF	29	ST003025::29.CDF	Normal_tissue	ST003025_candidate_13	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-07T06:11:59Z	29	2	TRUE	-0.866448577718212
ST003025	AN004960	30	30.CDF	30	ST003025::30.CDF	Normal_tissue	ST003025_candidate_14	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-07T06:27:54Z	30	2	TRUE	-0.866448577718212
ST003025	AN004960	31	31.CDF	31	ST003025::31.CDF	Normal_tissue	ST003025_candidate_15	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-07T06:43:59Z	31	2	TRUE	-0.866448577718212
ST003025	AN004960	32	32.CDF	32	ST003025::32.CDF	Normal_tissue	ST003025_candidate_16	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-07T07:00:01Z	32	2	TRUE	-0.866448577718212
ST003027	AN004962	measured concentration(Data07-BQ-ZY20221130-600MRM-RZZ-Sample-7)	Data07-BQ-ZY20221130-600MRM-RZZ-Sample-7.mzML	7	ST003027::Data07-BQ-ZY20221130-600MRM-RZZ-Sample-7.mzML	Early_stage_ESCC	ST003027_candidate_07	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2022-12-27T18:00:59Z	1	1	FALSE	-0.142151719781894
ST003027	AN004962	measured concentration(Data07-BQ-ZY20221130-600MRM-RZZ-Sample-3)	Data07-BQ-ZY20221130-600MRM-RZZ-Sample-3.mzML	3	ST003027::Data07-BQ-ZY20221130-600MRM-RZZ-Sample-3.mzML	Early_stage_ESCC	ST003027_candidate_03	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2022-12-27T18:26:39Z	2	1	FALSE	-0.142151719781894
ST003027	AN004962	measured concentration(Data07-BQ-ZY20221130-600MRM-RZZ-Sample-25)	Data07-BQ-ZY20221130-600MRM-RZZ-Sample-25.mzML	25	ST003027::Data07-BQ-ZY20221130-600MRM-RZZ-Sample-25.mzML	Normal_tissue	ST003027_candidate_09	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2022-12-27T18:52:19Z	3	2	FALSE	-0.142151719781894
ST003027	AN004962	measured concentration(Data07-BQ-ZY20221130-600MRM-RZZ-Sample-5)	Data07-BQ-ZY20221130-600MRM-RZZ-Sample-5.mzML	5	ST003027::Data07-BQ-ZY20221130-600MRM-RZZ-Sample-5.mzML	Early_stage_ESCC	ST003027_candidate_05	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2022-12-27T19:17:59Z	4	3	FALSE	-0.142151719781894
