cohort	model_variant	factor	n_total	n_pathological_complete_response	n_not_pathological_complete_response	median_score_pcr	median_score_non_pcr	wilcoxon_w	wilcoxon_p_value	rank_biserial_pcr_higher_positive	firth_log_odds_per_1sd	firth_odds_ratio_per_1sd	firth_or_ci_lower_95	firth_or_ci_upper_95	firth_profile_likelihood_p_value	firth_convergence_max_abs_score	endpoint_role	treatment_predictor_claim	source_response_field	wilcoxon_q_value	firth_q_value	response_status
GSE45670	mofa51_fixed_weight_sensitivity	Factor1	28	11	17	-0.509193554894129	0.535729868024773	144	0.0186718213190518	-0.540106951871658	-1.01773642637406	0.361412097868695	0.122279964200743	0.829952826146545	0.0145979656222985	1.27241330332861e-07	exploratory_only	FALSE	pathological response to crp	0.0642522974243209	0.0583918624891942	exploratory_concordant_signal
GSE45670	ridge314_primary	Factor1	28	11	17	-0.363353081852884	-0.122463806084785	130	0.0903691449717581	-0.390374331550802	-0.787165707440888	0.455132948848315	0.143571500185056	1.04673039375395	0.0655067829998549	1.96123345078635e-06	exploratory_only	FALSE	pathological response to crp	0.0903691449717581	0.0873423773331399	exploratory_concordant_signal
GSE45670	mofa51_fixed_weight_sensitivity	Factor3	28	11	17	0.226199531982931	-0.412797206107834	51	0.0481892230682407	0.454545454545455	0.67298083658697	1.96007127345117	0.887826347248576	5.35422707904284	0.100145215480981	1.25492447632619e-06	exploratory_only	FALSE	pathological response to crp	0.0642522974243209	0.100145215480981	exploratory_single_method_signal
GSE45670	ridge314_primary	Factor3	28	11	17	0.406524140495654	-0.653332994539424	49	0.0384732586621739	0.475935828877005	0.765827885213641	2.15077423197932	0.981008895099111	5.54102635578047	0.0561912169755703	9.48361134591483e-07	exploratory_only	FALSE	pathological response to crp	0.0642522974243209	0.0873423773331399	exploratory_concordant_signal
