gene_id	original_edge_id	gene_name	interpretation_role	event_type	reference_factor	original_effect	original_q_value	original_association_status	original_level_factor_soft_flag	scenario_id	scenario_class	scenario_target_gene_id	scenario_target_gene_name	prespecified_seed_count	informative_model_count	completed_converged_seed_count	reliable_factor_match_count	reliable_factor_match_rate	direction_retained_count	direction_retention_rate	magnitude_retained_count	magnitude_retention_rate	low_margin_count	median_aligned_effect	median_q_value	minimum_factor_match_abs_loading_correlation	median_factor_match_abs_loading_correlation	scenario_no_op	no_op_reason	retention_decision
ENSG00000116044.16	TCGA_DRIVER_STATE_0055	NFE2L2	known_positive_anchor	amplification	Factor2	-0.419607843137255	0.254622778770024	within_tcga_conditional	FALSE	drop_gene_event_features_NFE2L2	gene_event_feature_drop	ENSG00000116044.16	NFE2L2	3	3	3	3	1	3	1	3	1	0	-0.422222222222222	0.246799435146972	0.999621954788678	0.999783115653114	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0055	NFE2L2	known_positive_anchor	amplification	Factor2	-0.419607843137255	0.254622778770024	within_tcga_conditional	FALSE	drop_mutation_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.416993464052288	0.433482515822744	0.998236495543582	0.998525545261377	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0053	NFE2L2	known_positive_anchor	mutation	Factor1	0.753205128205128	0.000166971067788069	within_tcga_supported	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	0.748397435897436	0.000193612203645444	0.996667925361895	0.999831609903007	FALSE		retained_across_seeds_no_low_margin
ENSG00000116044.16	TCGA_DRIVER_STATE_0053	NFE2L2	known_positive_anchor	mutation	Factor1	0.753205128205128	0.000166971067788069	within_tcga_supported	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.756410256410256	0.000151205760264617	0.997105913287103	0.99788062376189	FALSE		retained_across_seeds_no_low_margin
ENSG00000116044.16	TCGA_DRIVER_STATE_0053	NFE2L2	known_positive_anchor	mutation	Factor1	0.753205128205128	0.000166971067788069	within_tcga_supported	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.754807692307692	0.000158900759334557	0.996600719700229	0.996616587876539	FALSE		retained_across_seeds_no_low_margin
ENSG00000116044.16	TCGA_DRIVER_STATE_0053	NFE2L2	known_positive_anchor	mutation	Factor1	0.753205128205128	0.000166971067788069	within_tcga_supported	FALSE	drop_gene_event_features_NFE2L2	gene_event_feature_drop	ENSG00000116044.16	NFE2L2	3	3	3	3	1	3	1	3	1	0	0.751602564102564	0.000175434134003893	0.999811248644167	0.999891639181392	FALSE		retained_across_seeds_no_low_margin
ENSG00000116044.16	TCGA_DRIVER_STATE_0053	NFE2L2	known_positive_anchor	mutation	Factor1	0.753205128205128	0.000166971067788069	within_tcga_supported	FALSE	drop_mutation_view	global_view_drop			3	3	3	1	0.333333333333333	1	0.333333333333333	1	0.333333333333333	2	0.748397435897436	0.000193612203645444	0.626100009716627	0.638615370148529	FALSE		factor_alignment_unstable
ENSG00000116044.16	TCGA_DRIVER_STATE_0056	NFE2L2	known_positive_anchor	mutation	Factor7	0.642628205128205	0.00134293091253213	within_tcga_supported	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	0.642628205128205	0.00134293091253213	0.999817313011878	0.999818522208016	FALSE		retained_across_seeds_no_low_margin
ENSG00000116044.16	TCGA_DRIVER_STATE_0056	NFE2L2	known_positive_anchor	mutation	Factor7	0.642628205128205	0.00134293091253213	within_tcga_supported	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.567307692307692	0.00902321916262494	0.995347852193533	0.995924851590014	FALSE		retained_across_seeds_no_low_margin
ENSG00000116044.16	TCGA_DRIVER_STATE_0056	NFE2L2	known_positive_anchor	mutation	Factor7	0.642628205128205	0.00134293091253213	within_tcga_supported	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.600961538461539	0.00395461214313464	0.995623411386344	0.995645980129931	FALSE		retained_across_seeds_no_low_margin
ENSG00000116044.16	TCGA_DRIVER_STATE_0056	NFE2L2	known_positive_anchor	mutation	Factor7	0.642628205128205	0.00134293091253213	within_tcga_supported	FALSE	drop_gene_event_features_NFE2L2	gene_event_feature_drop	ENSG00000116044.16	NFE2L2	3	3	3	3	1	3	1	3	1	0	0.641025641025641	0.00140157795962814	0.999810492317191	0.999851055877069	FALSE		retained_across_seeds_no_low_margin
