analysis_scope	association_role	is_primary_scope	n_patients	pathway	factor	reduced_model	full_model	factor_beta_standardized	factor_standard_error	factor_t_value	factor_coefficient_p_value	reduced_r_squared	full_r_squared	delta_r_squared	partial_r_squared	incremental_f	incremental_p_value	extension_calibration_pass	shared_rna_representation	independent_validation	factor_level_soft_flag	interpretation	incremental_q_value	factor_coefficient_q_value
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	p53	Factor6	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.83704873947836	0.0742820773926241	-11.2685154866371	8.02755179953652e-19	0.111956222690762	0.634058243160404	0.522102020469643	0.587923741835797	126.97944127258	8.02755179953658e-19	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	8.99085801548097e-17	8.99085801548091e-17
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	VEGF	Factor5	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.560477428357121	0.0765581391895604	7.32093849576673	1.04947464047916e-10	0.268650843360739	0.543535507121941	0.274884663761202	0.375859685166479	53.5961404587993	1.04947464047916e-10	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	5.87705798668327e-09	5.87705798668327e-09
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	EGFR	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.620128598774158	0.0886525753796657	6.99504324740009	4.73941920624491e-10	0.282764000863075	0.537202114512816	0.254438113649741	0.354748107953191	48.9306300329975	4.73941920624498e-10	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	1.44213763530129e-08	1.44213763530131e-08
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	VEGF	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.625153927130383	0.0896026565582035	6.97695750487375	5.15049155464754e-10	0.268650843360739	0.527229439805352	0.258578596444614	0.353563812984826	48.6779360248142	5.15049155464746e-10	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	1.44213763530129e-08	1.44213763530131e-08
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	TGFb	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.53087833726922	0.0920815852067491	5.76530406244907	1.15851046986397e-07	0.31423857282974	0.500708437067631	0.186469864237891	0.271916524974792	33.2387309324917	1.15851046986397e-07	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	2.59506345249528e-06	2.59506345249529e-06
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	MAPK	Factor5	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.479484204764914	0.0868518701348635	5.52071249611979	3.29753739485863e-07	0.211355067090341	0.412534169554338	0.201179102463996	0.255094649149343	30.4782664648131	3.29753739485871e-07	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	6.1554031370696e-06	6.15540313706945e-06
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	MAPK	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.517566826854494	0.10189705336532	5.07931102775781	2.068094358861e-06	0.211355067090341	0.388590892347492	0.177235825257151	0.224734627537959	25.7994005167021	2.06809435886103e-06	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	3.30895097417764e-05	3.3089509741776e-05
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	PI3K	Factor5	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.442154601961331	0.0970757490988373	4.55473798622097	1.65902059725281e-05	0.0950115738121438	0.266085000659831	0.171073426847687	0.189033828386415	20.7456381231243	1.6590205972528e-05	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.000232262883615392	0.000232262883615393
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Estrogen	Factor6	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.48239365492034	0.108445776175506	4.448247519937	2.4944759673112e-05	0.0466424976728938	0.220045676193932	0.173403178521038	0.181886834789434	19.7869059986258	2.49447596731115e-05	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.00028392367295438	0.000283923672954381
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Trail	Factor5	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.383064733767114	0.0861980360162885	-4.44400767663347	2.53503279423555e-05	0.292941927282332	0.42134594071332	0.128404013430988	0.181603206844738	19.7492042299772	2.53503279423554e-05	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.00028392367295438	0.000283923672954381
