patient_id	Androgen	EGFR	Estrogen	Hypoxia	JAK-STAT	MAPK	NFkB	p53	PI3K	TGFb	TNFa	Trail	VEGF	WNT
TCGA-IC-A6RF	0.994206653349849	1.27717054822706	0.367568854122339	-0.770004630386678	1.84725353408266	0.726191988381212	0.26049914446402	1.50273509686036	-0.550469013064833	-0.0736838739794509	0.132293668783793	0.234253891308329	0.421221979749662	-1.67575720924126
TCGA-IG-A3I8	-0.639476068103918	0.0808076137302639	-0.166287287119928	0.435921725596682	-1.30209273526994	0.915258453037013	-0.278353373433657	-1.08242369288154	-1.00304507992205	0.447862698202878	-0.0750754406651506	-1.53359207852902	0.560017534776917	1.49358634470281
TCGA-IG-A3QL	-0.053974014533265	-0.485207029263037	0.503282706454561	-0.0369061480613868	-0.472015031963088	0.265047854685152	-0.812750979163627	-0.676676987387649	-1.12947078339056	0.362346161504153	-0.685948993717293	-1.02658425008672	-0.461658993767533	0.335360906050012
TCGA-IG-A3Y9	0.294233020196336	0.756771248215993	0.512016046839579	0.887208325868852	0.563495184521214	0.00816526522176459	0.373965931371608	1.32270623338786	-0.26681546296644	1.42529018045429	0.535476290956605	1.16659565484184	-6.55724358617732e-05	1.4530654845839
TCGA-IG-A3YA	1.03324181071739	-0.667059355996112	0.298259000531579	0.123309717919198	0.222865884384112	-0.577675285127218	0.888255487988619	-0.348735900967405	-0.000126740339443171	0.788689220440167	0.696057409095532	1.67596033582004	-1.92970847332603	1.4313375515503
TCGA-IG-A3YB	0.316335214213981	-2.8790963786623	-1.75377595208104	-1.39554432788075	0.0886257341319819	-3.03748288864852	-1.51679580116251	1.03889500768913	-2.44972003680819	-0.537662962272472	-1.54889767185979	0.491843803192569	-1.10815100603136	-1.28276263105928
TCGA-IG-A3YC	1.31213296337666	-0.384478764603761	0.338448439046601	-0.0389699475179439	1.17094761501415	-0.903970851448675	0.682563463683949	0.772802314359996	-1.02755084675922	0.423692451931461	0.554303848734104	1.22672374037814	-0.258964491676566	1.5855007773468
TCGA-IG-A4P3	-0.635120189193813	-0.505961647407289	-1.28583954591275	-0.507433546334606	0.695177006716095	-1.1145087451139	0.626238523850602	0.644540104269845	1.43981046823987	-2.05020998323641	0.390874465890959	2.75695441221779	-2.04710044521208	-0.52663944693816
TCGA-IG-A4QT	-1.23952447582944	-1.94769015638547	0.406511199724442	-1.42198317732125	-0.179794656672364	-2.28179701686269	-0.00982162510867546	-1.75003303409356	-1.833549144123	-1.91988240679424	-0.527689207633777	1.93085789955553	-1.12268772148226	0.0905324629445647
TCGA-IG-A50L	-0.585435866225674	0.645507481311816	0.545347874926121	-0.366473841698979	-0.673484004066963	0.702992235760313	-0.309580107773586	-0.822290585486957	1.74064325207995	0.442641685594704	-0.257960964376458	0.239597673822236	-0.28696080979355	0.451724785080074
TCGA-IG-A51D	-0.305940058502629	0.471888606061003	2.2044021476134	-0.218846237155754	1.96497273913856	0.879753523769393	0.410079514897532	-0.946330855089939	-0.553459594587157	0.4718025227738	0.266905726047935	-0.0648904077766642	0.643886828646404	-0.0876741737959876
TCGA-IG-A5B8	-0.139328527139812	1.44956785414942	-1.87696301183277	1.15542965166507	0.740205503977732	0.493934616727484	0.430460262969695	0.968729123154332	0.935652969239763	-0.0295705510057478	0.662068967950179	-1.48668777183714	1.44908318699786	-1.55509407236016
