edge_id	source_node	source_gene_id	source_gene_name	event_type	target_node	target_type	effect_measure	effect	effect_ci95_low	effect_ci95_high	p_value	q_value	bootstrap_direction_consistency	association_status	level_factor_soft_flag	target_model_overlap_class	predictor_feature_selected_in_target_model	independence_group	eligible_as_independent_validation
TCGA_DRIVER_STATE_0017	PTCH1:mutation	ENSG00000185920.16	PTCH1	mutation	Factor1	MOFA_factor	rank-biserial correlation: event minus reference	0.500821018062397	0.121100164203612	0.839244663382594	0.0285902461314485	0.173841101375178	0.99	within_tcga_conditional	FALSE	predictor_feature_in_mofa_input	TRUE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0057	NFE2L2:mutation	ENSG00000116044.16	NFE2L2	mutation	Factor8	MOFA_factor	rank-biserial correlation: event minus reference	0.346153846153846	0.0341746794871795	0.672315705128205	0.0301550691802388	0.173841101375178	0.986	within_tcga_conditional	FALSE	predictor_feature_in_mofa_input	TRUE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0061	TP53:mutation	ENSG00000141510.18	TP53	mutation	Factor6	MOFA_factor	rank-biserial correlation: event minus reference	0.419047619047619	-0.00523809523809519	0.770297619047619	0.031387976637185	0.173841101375178	0.974	within_tcga_conditional	FALSE	predictor_feature_in_mofa_input	TRUE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0049	PIK3CA:mutation	ENSG00000121879.6	PIK3CA	mutation	Factor8	MOFA_factor	rank-biserial correlation: event minus reference	-0.391018619934283	-0.738280394304491	0.0133077765607885	0.0362871508841317	0.186619633118392	0.966	within_tcga_conditional	FALSE	predictor_feature_in_mofa_input	TRUE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0045	FBXW7:relative_cnv	ENSG00000109670.16	FBXW7	relative_cnv	Factor7	MOFA_factor	Spearman rho	-0.243303789235754	-0.428032403108772	-0.0484426382990103	0.0181285799340948	0.193371519297011	0.992	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0023	PTCH1:amplification	ENSG00000185920.16	PTCH1	amplification	Factor7	MOFA_factor	rank-biserial correlation: event minus reference	0.59469696969697	0.395738636363636	0.763352272727273	0.0154941633363392	0.247906613381428	1	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0021	PTCH1:amplification	ENSG00000185920.16	PTCH1	amplification	Factor6	MOFA_factor	rank-biserial correlation: event minus reference	0.53030303030303	0.149526515151515	0.810606060606061	0.0309530946513674	0.254622778770024	0.992	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0024	PTCH1:amplification	ENSG00000185920.16	PTCH1	amplification	Factor8	MOFA_factor	rank-biserial correlation: event minus reference	0.507575757575758	0.0757575757575757	0.829734848484848	0.0389351177220323	0.254622778770024	0.99	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0055	NFE2L2:amplification	ENSG00000116044.16	NFE2L2	amplification	Factor2	MOFA_factor	rank-biserial correlation: event minus reference	-0.419607843137255	-0.759607843137255	-0.0349019607843141	0.0397848091828163	0.254622778770024	0.976	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0041	GNAS:relative_cnv	ENSG00000087460.27	GNAS	relative_cnv	Factor7	MOFA_factor	Spearman rho	-0.225737281324169	-0.414632156734928	-0.0472948093845851	0.0286957588586433	0.275479285042975	0.996	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0009	NOTCH1:relative_cnv	ENSG00000148400.12	NOTCH1	relative_cnv	Factor3	MOFA_factor	Spearman rho	0.221306879127476	0.0173507722587712	0.423029905982294	0.0320652206196652	0.279841925407987	0.982	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0008	NOTCH1:relative_cnv	ENSG00000148400.12	NOTCH1	relative_cnv	Factor1	MOFA_factor	Spearman rho	0.215133292356625	0.0388436259743144	0.378856971187249	0.0373117827081742	0.283940830828338	0.986	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0038	EP300:relative_cnv	ENSG00000100393.14	EP300	relative_cnv	Factor7	MOFA_factor	Spearman rho	-0.208400263918035	-0.392089344556892	0.0099200358242417	0.0438344652131573	0.283940830828338	0.964	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0062	TP53:relative_cnv	ENSG00000141510.18	TP53	relative_cnv	Factor6	MOFA_factor	Spearman rho	0.206282214398735	0.0374066373662753	0.379816806161962	0.0460723924581816	0.283940830828338	0.99	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0054	NFE2L2:relative_cnv	ENSG00000116044.16	NFE2L2	relative_cnv	Factor2	MOFA_factor	Spearman rho	-0.205135051839573	-0.399751799758131	0.00556593174156077	0.047323471804723	0.283940830828338	0.97	within_tcga_conditional	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0046	PIK3CA:relative_cnv	ENSG00000121879.6	PIK3CA	relative_cnv	Factor1	MOFA_factor	Spearman rho	0.578587085765964	0.436423543973877	0.6986495306864	1.01079153014674e-09	9.70359868940868e-08	1	within_tcga_supported	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0047	PIK3CA:amplification	ENSG00000121879.6	PIK3CA	amplification	Factor1	MOFA_factor	rank-biserial correlation: event minus reference	0.557369614512472	0.368095238095238	0.740816326530612	3.36444195836449e-06	0.000107662142667664	1	within_tcga_supported	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0053	NFE2L2:mutation	ENSG00000116044.16	NFE2L2	mutation	Factor1	MOFA_factor	rank-biserial correlation: event minus reference	0.753205128205128	0.587900641025641	0.918269230769231	2.31904260816762e-06	0.000166971067788069	1	within_tcga_supported	FALSE	predictor_feature_in_mofa_input	TRUE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0068	SMARCA4:mutation	ENSG00000127616.19	SMARCA4	mutation	Factor1	MOFA_factor	rank-biserial correlation: event minus reference	-0.947454844006568	-1	-0.881773399014778	3.35757486745582e-05	0.0012087269522841	1	within_tcga_supported	FALSE	predictor_feature_in_mofa_input	TRUE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0056	NFE2L2:mutation	ENSG00000116044.16	NFE2L2	mutation	Factor7	MOFA_factor	rank-biserial correlation: event minus reference	0.642628205128205	0.406209935897436	0.837459935897436	5.59554546888386e-05	0.00134293091253213	1	within_tcga_supported	FALSE	predictor_feature_in_mofa_input	TRUE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0022	PTCH1:relative_cnv	ENSG00000185920.16	PTCH1	relative_cnv	Factor7	MOFA_factor	Spearman rho	0.391559241097994	0.222416197943881	0.537485359938024	9.51892271711032e-05	0.00456908290421296	1	within_tcga_supported	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0011	NOTCH1:relative_cnv	ENSG00000148400.12	NOTCH1	relative_cnv	Factor7	MOFA_factor	Spearman rho	0.358889670020717	0.194853964725771	0.498037153898827	0.000382146349607281	0.012228683187433	1	within_tcga_supported	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0058	TP53:mutation	ENSG00000141510.18	TP53	mutation	Factor1	MOFA_factor	rank-biserial correlation: event minus reference	0.619047619047619	0.235476190476191	0.894107142857143	0.00146164295293039	0.026309573152747	1	within_tcga_supported	FALSE	predictor_feature_in_mofa_input	TRUE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0002	KMT2D:relative_cnv	ENSG00000167548.16	KMT2D	relative_cnv	Factor3	MOFA_factor	Spearman rho	-0.312270708246483	-0.478209178933505	-0.12865848105553	0.00218342557712684	0.0524022138510443	1	within_tcga_supported	FALSE	predictor_layer_in_mofa_input	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0073	SMARCA4:mutation	ENSG00000127616.19	SMARCA4	mutation	Factor8	MOFA_factor	rank-biserial correlation: event minus reference	-0.635467980295567	-0.916338259441708	-0.280788177339901	0.0054431063055489	0.0783807307999041	1	within_tcga_supported	FALSE	predictor_feature_in_mofa_input	TRUE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0031	PTCH1:amplification	ENSG00000185920.16	PTCH1	amplification	NFkB	PROGENy_pathway	rank-biserial correlation: event minus reference	0.473484848484848	0.0508522727272727	0.837121212121212	0.054145954434953	0.322729860638368	0.98	directional_exploratory	FALSE	same_patient_rna_derived_target	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0030	PTCH1:amplification	ENSG00000185920.16	PTCH1	amplification	MAPK	PROGENy_pathway	rank-biserial correlation: event minus reference	0.462121212121212	-0.0360795454545454	0.886363636363637	0.0602082522639389	0.322729860638368	0.964	directional_exploratory	FALSE	same_patient_rna_derived_target	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0025	PTCH1:amplification	ENSG00000185920.16	PTCH1	amplification	EGFR	PROGENy_pathway	rank-biserial correlation: event minus reference	0.454545454545455	-0.165056818181818	0.880776515151515	0.0645544633944768	0.322729860638368	0.928	directional_exploratory	FALSE	same_patient_rna_derived_target	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0027	PTCH1:amplification	ENSG00000185920.16	PTCH1	amplification	Estrogen	PROGENy_pathway	rank-biserial correlation: event minus reference	0.446969696969697	0.0568181818181819	0.748200757575757	0.0691563987082218	0.322729860638368	0.982	directional_exploratory	FALSE	same_patient_rna_derived_target	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0033	PTCH1:amplification	ENSG00000185920.16	PTCH1	amplification	TNFa	PROGENy_pathway	rank-biserial correlation: event minus reference	0.420454545454545	-0.0476325757575757	0.808806818181818	0.0874275714497337	0.371623922690854	0.952	directional_exploratory	FALSE	same_patient_rna_derived_target	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0051	PIK3CA:amplification	ENSG00000121879.6	PIK3CA	amplification	EGFR	PROGENy_pathway	rank-biserial correlation: event minus reference	-0.201814058956916	-0.429092970521542	0.00589569160997727	0.0929059806727134	0.371623922690854	0.968	directional_exploratory	FALSE	same_patient_rna_derived_target	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0077	SMARCA4:mutation	ENSG00000127616.19	SMARCA4	mutation	PI3K	PROGENy_pathway	rank-biserial correlation: event minus reference	0.448275862068966	0.0621510673234812	0.801395730706076	0.0501526029134356	0.68017875724909	0.988	directional_exploratory	FALSE	same_patient_rna_derived_target	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0076	SMARCA4:mutation	ENSG00000127616.19	SMARCA4	mutation	MAPK	PROGENy_pathway	rank-biserial correlation: event minus reference	0.425287356321839	-0.095320197044335	0.870361247947455	0.0631907817438302	0.68017875724909	0.932	directional_exploratory	FALSE	same_patient_rna_derived_target	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
TCGA_DRIVER_STATE_0007	KMT2D:mutation	ENSG00000167548.16	KMT2D	mutation	VEGF	PROGENy_pathway	rank-biserial correlation: event minus reference	0.290064102564103	0.0446314102564103	0.53525641025641	0.0693813476972767	0.68017875724909	0.986	directional_exploratory	FALSE	same_patient_rna_derived_target	FALSE	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE
