evidence_id	candidate_id	candidate_label	candidate_type	evidence_type	omics_layer	dataset	analysis_unit	independence_group	effect_measure	effect_value	p_value	q_value	direction	discordance_code	layer_availability	independent_from_discovery	eligible_as_exact_replication	evidence_tier	auxiliary_score_100	cross_dataset_patient_link_allowed
EVIDENCE_000007	GENE:KMT2D	KMT2D	driver_candidate	TCGA_driver_composite	genome+transcriptome	TCGA-ESCC GDC DR45	unique patient	TCGA_ESCC_DR45_driver_core	mutated patient count	17			event_recurrence	not_comparable	TCGA_evaluable_Cao_profiled	FALSE	FALSE	T3	47	FALSE
EVIDENCE_000004	GENE:NFE2L2	NFE2L2	driver_candidate	TCGA_driver_composite	genome+transcriptome	TCGA-ESCC GDC DR45	unique patient	TCGA_ESCC_DR45_driver_core	CNV-RNA Spearman rho	0.366277738034032	0.0002617381804392	0.000697931792331779	positive	support	TCGA_evaluable_Cao_profiled	FALSE	FALSE	T3	50	FALSE
EVIDENCE_000005	GENE:NOTCH1	NOTCH1	driver_candidate	TCGA_driver_composite	genome+transcriptome	TCGA-ESCC GDC DR45	unique patient	TCGA_ESCC_DR45_driver_core	CNV-RNA Spearman rho	0.308253067413868	0.00237306569493432	0.00511622957096487	positive	support	TCGA_evaluable_Cao_profiled	FALSE	FALSE	T3	49	FALSE
EVIDENCE_000002	GENE:PTCH1	PTCH1	driver_candidate	TCGA_driver_composite	genome+transcriptome	TCGA-ESCC GDC DR45	unique patient	TCGA_ESCC_DR45_driver_core	CNV-RNA Spearman rho	0.296160907472603	0.00356738772658747	0.00738036070939353	positive	same_direction_nonsignificant	TCGA_evaluable_Cao_profiled	FALSE	FALSE	T3	57	FALSE
EVIDENCE_000006	GENE:SMARCA4	SMARCA4	driver_candidate	TCGA_driver_composite	genome+transcriptome	TCGA-ESCC GDC DR45	unique patient	TCGA_ESCC_DR45_driver_core	mutated patient count	7			event_recurrence	not_comparable	TCGA_evaluable_Cao_profiled	FALSE	FALSE	T3	49	FALSE
EVIDENCE_000003	GENE:TP53	TP53	driver_candidate	TCGA_driver_composite	genome+transcriptome	TCGA-ESCC GDC DR45	unique patient	TCGA_ESCC_DR45_driver_core	CNV-RNA Spearman rho	0.166772654964734	0.106242677279114	0.153058006731083	positive	same_direction_nonsignificant	TCGA_evaluable_Cao_profiled	FALSE	FALSE	T3	53	FALSE
EVIDENCE_001626	STATE:Factor1	Factor1	heterogeneity_state	TCGA_continuous_MOFA_axis	multiomics_continuous_state	TCGA-ESCC GDC DR45	94-patient factor; pathway interpretation from official78 ECMS primary	TCGA_ESCC_factor94_ECMS78_shared_RNA	ECMS-adjusted standardized factor beta	0.351934929319968	0.00781130099360376	0.0408873236638676	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001627	STATE:Factor3	Factor3	heterogeneity_state	TCGA_continuous_MOFA_axis	multiomics_continuous_state	TCGA-ESCC GDC DR45	94-patient factor; pathway interpretation from official78 ECMS primary	TCGA_ESCC_factor94_ECMS78_shared_RNA	ECMS-adjusted standardized factor beta	0.686187648791644	3.09324768812002e-11	1.73221870534721e-09	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001270	GENE:EP300	EP300	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.253771203331802	0.0135859773963133	0.16303172875576	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001271	GENE:EP300	EP300	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	-0.208400263918035	0.0438344652131573	0.283940830828338	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
