analysis_scope	association_role	is_primary_scope	n_patients	factor	ecms1_n	ecms2_n	ecms3_n	ecms4_n	ecms1_mean	ecms2_mean	ecms3_mean	ecms4_mean	anova_f	anova_p_value	eta_squared	kruskal_h	kruskal_p_value	extension_calibration_pass	shared_rna_representation	independent_validation	factor_level_soft_flag	interpretation	anova_q_value	kruskal_q_value
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Factor3	27	40	9	18	-0.512792209646216	0.191676709614694	-1.00188864767551	0.844184326835804	15.3422020979511	3.83832532013621e-08	0.338364732811342	32.0996391688441	4.98642767188013e-07	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	3.07066025610897e-07	3.98914213750411e-06
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Factor1	27	40	9	18	0.895191501170673	-0.244754887570161	-0.762887098722988	-0.417443978703684	11.3237525869781	2.26479401170699e-06	0.274025273071315	23.2674965783253	3.55165186612722e-05	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	9.05917604682796e-06	9.47107164300591e-05
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Factor6	27	40	9	18	0.392699450426907	-0.56559731514426	0.128989246984323	0.603339270585113	10.2594070579574	7.08617255779765e-06	0.25483254244624	24.9436443946746	1.58651405427272e-05	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	1.88964601541271e-05	6.34605621709088e-05
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Factor5	27	40	9	18	-0.134590550981186	0.302806987002259	-0.289041659898228	-0.326497732661665	4.2836457370397	0.00712041682390886	0.124947205728815	12.4612318029115	0.00595916956512275	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	0.0142408336478177	0.0119183391302455
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Factor2	27	40	9	18	0.0261441712026239	0.264914854906965	-0.882664933800698	-0.186583566479384	3.30158434226884	0.0238889390334043	0.0991419599841148	10.3600535025507	0.0157409151887923	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	0.0382223024534468	0.0251854643020678
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Factor8	27	40	9	18	0.0830912058828056	-0.152595697354991	-0.270373413856659	0.349651504307985	2.1449512214219	0.100087434832795	0.0667274685423217	7.33902575587905	0.0618420715882556	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	0.133449913110394	0.0824560954510075
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Factor7	27	40	9	18	-0.144014016483669	0.0165010537952184	0.277574448121919	0.0405647019700456	0.73444661775432	0.534154863165909	0.0238965297436022	1.50318153539877	0.681536228530251	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	0.610462700761039	0.681536228530251
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Factor4	27	40	9	18	0.188597482663614	-0.0526541769504551	-0.102497499850062	-0.114638159672419	0.436846912172967	0.727168589348836	0.0143525679067057	1.93758243125541	0.585462229374535	FALSE	TRUE	FALSE	TRUE	level-factor soft QC; technical/background only, not a biological ECMS axis	0.727168589348836	0.669099690713754
official_anchor_78	primary	TRUE	78	Factor6	23	34	7	14	0.400560545046692	-0.70461928451379	-0.0753465369343759	0.708054728806019	14.065355864984	2.39965986055434e-07	0.363145401288823	27.9552321161308	3.71147455116147e-06	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	1.91972788844347e-06	2.96917964092917e-05
official_anchor_78	primary	TRUE	78	Factor3	23	34	7	14	-0.512082974385956	0.23848182708025	-0.933680276785578	0.802169145484055	11.2828205257371	3.5378462872234e-06	0.313852057620482	25.10372055346	1.46883607845519e-05	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	1.41513851488936e-05	5.87534431382075e-05
official_anchor_78	primary	TRUE	78	Factor1	23	34	7	14	0.95232890939097	-0.258041442988221	-0.544878983071872	-0.494628440056529	10.0118019296095	1.28965745269827e-05	0.288703692373676	20.422234665849	0.000138754314585437	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	3.43908654052873e-05	0.000370011505561164
official_anchor_78	primary	TRUE	78	Factor5	23	34	7	14	-0.0871777456739675	0.32793441737372	-0.361991739698819	-0.415404063117291	4.38232195261532	0.00678665601052496	0.150859708406731	11.6634183583259	0.00862974965496471	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	0.0135733120210499	0.0172594993099294
official_anchor_78	primary	TRUE	78	Factor2	23	34	7	14	0.00294985589773732	0.173511642086155	-0.87770603810038	-0.149649937104965	1.91100546226879	0.135172482786842	0.0719026652521706	6.62593817849734	0.0848259589038401	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	0.216275972458947	0.135721534246144
official_anchor_78	primary	TRUE	78	Factor8	23	34	7	14	0.0633551846055881	-0.139795202994719	-0.144161266806935	0.319870506014142	1.21981579356751	0.308555279609163	0.0471217283167516	4.63860103120035	0.200255592360204	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	0.411407039478884	0.267007456480272
official_anchor_78	primary	TRUE	78	Factor7	23	34	7	14	-0.227490486820107	-0.0136564575573977	0.116074555686542	0.1429162400309	0.789872118302338	0.503369284356343	0.0310282605571156	1.00756910867307	0.799420462902748	FALSE	TRUE	FALSE	FALSE	same-TCGA explanatory association; not a new subtype or causal mechanism	0.575279182121535	0.799420462902748
official_anchor_78	primary	TRUE	78	Factor4	23	34	7	14	0.0669527727624646	0.0265058882753636	-0.0316962365593233	-0.342350159372602	0.543815020672089	0.653837538043157	0.0215709889012238	1.93086695751072	0.586878768472178	FALSE	TRUE	FALSE	TRUE	level-factor soft QC; technical/background only, not a biological ECMS axis	0.653837538043157	0.670718592539632
