edge_id	axis_candidate_id	source_node	source_layer	target_node	target_layer	edge_class	source_effect_measure	source_effect	target_effect_measure	target_effect	association_effect_measure	association_effect	p_value	q_value	n_complete	sample_design	evidence_source	independence_group	same_patient_evidence	independent_from_tcga_discovery	eligible_as_exact_driver_replication	representation_overlap	original_state_edge_id	meets_T3_T4_retention_criteria	baseline_reliable_match_rate	drop_both_reliable_match_rate	drop_both_direction_retention_rate	drop_both_magnitude_retention_rate	drop_both_low_margin_count	discordance_code	evidence_tier	layer_availability
ESCC_AXIS_00073	GENE:PTCH1	PTCH1:relative_cnv	genome_CNV	Factor7	multiomics_state	TCGA_driver_state_internal					Spearman rho	0.391559241097994	9.51892271711032e-05	0.00456908290421296		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0022	TRUE	1	1	1	1	0	support	T3	evaluable
ESCC_AXIS_00071	GENE:SMARCA4	SMARCA4:mutation	genome_mutation	Factor1	multiomics_state	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	-0.947454844006568	3.35757486745582e-05	0.0012087269522841		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_feature_in_mofa_input	TCGA_DRIVER_STATE_0068	TRUE	1	1	1	1	0	support	T3	evaluable
ESCC_AXIS_00075	GENE:TP53	TP53:mutation	genome_mutation	Factor1	multiomics_state	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	0.619047619047619	0.00146164295293039	0.026309573152747		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_feature_in_mofa_input	TCGA_DRIVER_STATE_0058	TRUE	1	1	1	1	0	support	T3	evaluable
ESCC_AXIS_00051	GENE:EP300	EP300:relative_cnv	genome_CNV	Factor1	multiomics_state	TCGA_driver_state_internal					Spearman rho	0.253771203331802	0.0135859773963133	0.16303172875576		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0037	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00065	GENE:EP300	EP300:relative_cnv	genome_CNV	Factor7	multiomics_state	TCGA_driver_state_internal					Spearman rho	-0.208400263918035	0.0438344652131573	0.283940830828338		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0038	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00110	GENE:EP300	EP300:relative_cnv	genome_CNV	TGFb	RNA_derived_pathway_activity	TCGA_driver_state_internal					Spearman rho	0.239551942647706	0.0200487248923372	0.835048779262326		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0040							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00115	GENE:EP300	EP300:relative_cnv	genome_CNV	Androgen	RNA_derived_pathway_activity	TCGA_driver_state_internal					Spearman rho	0.204620041618657	0.04789420453942	0.835048779262326		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0039							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00057	GENE:FBXW7	FBXW7:relative_cnv	genome_CNV	Factor7	multiomics_state	TCGA_driver_state_internal					Spearman rho	-0.243303789235754	0.0181285799340948	0.193371519297011		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0045	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00031	GENE:GNAS	GNAS:RNA	transcriptome	GNAS:protein	proteome	Cao2020_RNA_protein	limma logFC tumor_minus_normal pc1	0.455231110559371	median patient log2 tumor_vs_normal	0.2300707094205	same-patient Spearman rho	-0.464285714285714	0.293934107600252		7	Cao 2020 RNA and proteome patient mapping; missing protein is not negative	Cao2020_GSE149609_proteome_supplement	Cao2020_same_patient_cross_layer	TRUE	TRUE	FALSE	independent_cohort_orthogonal_calibration_not_exact_driver_event_replication								support	T2	evaluable
ESCC_AXIS_00019	GENE:GNAS	GNAS:promoter_methylation	epigenome_WGBS	GNAS:RNA	transcriptome	Cao2020_promoter_RNA	median paired delta_beta tumor_minus_normal	-0.055556	limma logFC tumor_minus_normal pc1	0.455231110559371	same-patient Spearman rho	-0.25	0.516489552301226		9	Cao 2020; WGBS 9 pairs and RNA 10 pairs; overlapping patients only for correlation	Cao2020_GSE149608_GSE149609	Cao2020_same_patient_cross_layer	TRUE	TRUE	FALSE	independent_cohort_orthogonal_calibration_not_exact_driver_event_replication								support	T2	evaluable
