tcga_gene_id	paper_patient_id	tcga_gene_name	normal_tpm	tumor_tpm	rna_delta_log2_tpm_pc01	rna_delta_log2_tpm_pc1	median_delta_beta_gene_body	median_delta_beta_promoter	n_common_cpg_gene_body	n_common_cpg_promoter	protein_log2_tumor_vs_normal	protein_identified_batches	protein_quantified_batches	protein_patient_measurement_status
ENSG00000100393.14	P11	EP300	13.73	29.08	1.0771787267674	1.03004713664179	-0.0625	0	746	38				
ENSG00000100393.14	P12	EP300	7.46	10.12	0.434937056716549	0.394427219603557	0	0	746	38				
ENSG00000100393.14	P13	EP300	10.42	12.59	0.270557364548803	0.250982805404548	-0.0180195000000001	0	746	38				
ENSG00000100393.14	P15	EP300	10.76	15.83	0.552722163720948	0.517147116493585								
ENSG00000100393.14	P2	EP300	11.15	11.27	0.0153072527878484	0.0141789351697614	0	0	746	38				
ENSG00000100393.14	P6	EP300	28.02	5.7	-2.2774717890576	-2.11481451872161	0	0	746	38				
ENSG00000100393.14	P7	EP300	27.06	3.7	-2.83741215591378	-2.5777823470549	0	0	746	38				
ENSG00000100393.14	P8	EP300	11.48	16.19	0.492351350536282	0.461951610615813	0	0	746	38				
ENSG00000100393.14	P9	EP300	10.54	11.8	0.161463422694117	0.14950058624188	0	0	746	38				
ENSG00000087460.27	P1	GNAS	711.24	1013.99	0.511574500096099	0.511030147535248	0	-0.0833329999999999	1042	57	0.407363571393	1	1	quantified
ENSG00000087460.27	P11	GNAS	817.35	2390.31	1.54805569380195	1.54701126115942	0	-0.266666	1042	57	-0.410341104614	1	1	quantified
ENSG00000087460.27	P12	GNAS	668.2	983.54	0.557634529543451	0.557012375914953	0	-0.055556	1042	57		1	0	identified_not_quantified
ENSG00000087460.27	P13	GNAS	622.54	622.68	0.000324352116676252	0.000323884008551545	-0.0446575	0.0666670000000001	1042	57		1	0	identified_not_quantified
ENSG00000087460.27	P15	GNAS	650.39	1056.7	0.700103588060273	0.699337010602317						1	0	identified_not_quantified
ENSG00000087460.27	P2	GNAS	746.76	996.75	0.416538599809943	0.416103074705607	0	0.133333	1042	57	-0.0071955014042	1	1	quantified
ENSG00000087460.27	P6	GNAS	865.32	974.36	0.171202504343611	0.171034783986682	-0.014286	0.128788	1042	57	0.713118852212	1	1	quantified
ENSG00000087460.27	P7	GNAS	657.87	587.26	-0.163776786541266	-0.163539898300046	-0.112711	-0.138889	1042	57	0.2300707094205	3	2	quantified
ENSG00000087460.27	P8	GNAS	795.61	1055.15	0.407270194159135	0.40686925305666	-0.022565	-0.139038	1042	57	0.33097323449	1	1	quantified
ENSG00000087460.27	P9	GNAS	608.61	807.37	0.407653593363252	0.407129212924318	0.05	-0.0427630000000001	1042	57	-0.0813396274519	1	1	quantified
ENSG00000109670.16	P1	FBXW7	14.63	22.87	0.640993426342075	0.610880788082112	0	0	623	4				
