gene_id	gene_name	gene_type	expressed_filter	cnv_coverage_filter	cnv_variation_filter	test_eligible	n_patients	spearman_rho_relative_cnv	p_relative_cnv	q_relative_cnv	spearman_rho_absolute_cnv	p_absolute_cnv	q_absolute_cnv	direction_stable_between_cnv_scales	discordance_code	dosage_evidence
ENSG00000015475.19	BID	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.341498066148212	0.000706948662170981	0.00170902076508814	0.314993191773157	0.0018767024458448	0.00646924175542367	TRUE	support	strong_positive_dosage
ENSG00000015479.20	MATR3	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.310055787956385	0.0022298760043304	0.00484151472126658	0.329734481992211	0.00110210947088976	0.00415602314977305	TRUE	support	strong_positive_dosage
ENSG00000015520.15	NPC1L1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.211394068014546	0.0397401318605824	0.0646133784943468	0.179345335243534	0.0820293330046559	0.141774148674888	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000015532.10	XYLT2	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.487192710075744	5.53529970116121e-07	2.90677725921849e-06	0.270264254122919	0.00807723998295969	0.0210599419128073	TRUE	support	strong_positive_dosage
ENSG00000015568.13	RGPD5	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.272195076353041	0.00761923978264363	0.014680522473942	0.151938750143159	0.141599845890587	0.220877558121963	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000015592.16	STMN4	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0544658235430763	0.600119401285254	0.666572391315182	0.260643498603426	0.0107394358773808	0.0266689245469769	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000015676.18	NUDCD3	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.521919408633804	5.82738508300382e-08	3.99043723664441e-07	0.385757539319384	0.000113076785459135	0.00064742202852946	TRUE	support	strong_positive_dosage
ENSG00000016082.15	ISL1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.137459012645799	0.184058027427099	0.247060108364783	0.103292900755236	0.319194626338267	0.422285233801576	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000016391.11	CHDH	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0768796545827852	0.458992227310672	0.534227186743204	0.233535497839774	0.0227455446996061	0.0492284755530479	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000016402.13	IL20RA	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000016490.16	CLCA1	protein_coding	FALSE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000016602.9	CLCA4	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000016864.18	GLT8D1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.266141008304369	0.00913722121210174	0.0172823623283929	0.226654594754073	0.0271927259286657	0.056954277494193	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000017260.20	ATP2C1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.664460730466886	2.11223458365259e-13	7.22031239619465e-12	0.586797860113707	4.1261149376897e-10	2.42256433517504e-08	TRUE	support	strong_positive_dosage
ENSG00000017427.17	IGF1	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000017483.15	SLC38A5	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0845511795868413	0.415270690722684	0.491190328893767	0.019032280061312	0.854747378759566	0.894750826036221	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000017797.13	RALBP1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.378341152255307	0.000156621074092455	0.000441785689866664	0.232767424372028	0.0232089434217735	0.0500230830174934	TRUE	support	strong_positive_dosage
ENSG00000018189.13	RUFY3	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.528721834931177	3.63819259293672e-08	2.62156582179679e-07	0.285548107493908	0.005031860067309	0.0144277751240364	TRUE	support	strong_positive_dosage
ENSG00000018236.15	CNTN1	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000018280.17	SLC11A1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	-0.00983472164714138	0.924640251394658	0.941039055307524	-0.187885699635592	0.068255736607565	0.121901035298851	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000018408.15	WWTR1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.371098460151395	0.000213692205171913	0.000582554717538737	0.378821764299115	0.000153385345709192	0.000834863928877243	TRUE	support	strong_positive_dosage
ENSG00000018510.17	AGPS	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.190818916093862	0.0639812530783868	0.0983766066367727	0.121000718324687	0.242785051407408	0.341276881173658	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000018607.7	ZNF806	transcribed_unprocessed_pseudogene	TRUE	TRUE	TRUE	FALSE									not_comparable	
ENSG00000018610.15	CXorf56	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.215442182412612	0.0360146329321067	0.0592703834473109	0.242053648408123	0.0181143211063675	0.0409566447265026	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000018625.15	ATP1A2	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.10044448262146	0.332793011645353	0.408345323831623	0.129700709710951	0.210304025684784	0.303940245439821	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000018699.13	TTC27	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.361084494893656	0.000324505432030247	0.000846959845443011	0.244584579004385	0.0169054348664639	0.0386854429766321	TRUE	support	strong_positive_dosage
ENSG00000018869.17	ZNF582	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000019102.12	VSIG2	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0585110173651392	0.573279617728147	0.642028621690954	-0.0202487756187603	0.845574656957436	0.887713394001176	FALSE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000019144.19	PHLDB1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0782820942672482	0.450815044706161	0.526503770891862	0.104787850712158	0.312202968953163	0.415157602208662	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000019169.10	MARCO	protein_coding	TRUE	TRUE	TRUE	TRUE	95	-0.0765688022529628	0.46081571453207	0.535906913498002	-0.103560640304108	0.317935094867386	0.420970231061619	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000019186.10	CYP24A1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.215476942516096	0.0359839578132603	0.0592429641682159	0.232170783777397	0.0235744550693749	0.0506730913881038	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000019485.13	PRDM11	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000019505.8	SYT13	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000019549.13	SNAI2	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.163558970640205	0.11324908814715	0.161864638327753	0.10143321325911	0.328031690484774	0.431948696784125	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000019582.15	CD74	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.16871016192661	0.102184851126176	0.14790096804179	0.130382375131284	0.207896539454206	0.301181621356893	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000019991.18	HGF	protein_coding	TRUE	TRUE	TRUE	TRUE	95	-0.0830323385497167	0.423729256698563	0.499696339357557	-0.0768410704842889	0.45921834858605	0.563721527128863	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000019995.6	ZRANB1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.341943575345147	0.000694921493134005	0.00168411893291142	0.307140159683753	0.00246554598429778	0.00802980333150088	TRUE	support	strong_positive_dosage
ENSG00000020129.16	NCDN	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000020181.18	ADGRA2	protein_coding	TRUE	TRUE	TRUE	TRUE	95	-0.0429606595525212	0.679330848394403	0.736600018753233	-0.0342054277810143	0.742098207587666	0.810549433177744	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000020219.9	CCT8L1P	processed_pseudogene	FALSE	TRUE	TRUE	FALSE									not_comparable	
ENSG00000020256.20	ZFP64	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.257174010467056	0.0118726036769152	0.0218753973311984	0.283334695728819	0.00539744945116046	0.0152620856052658	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000020426.11	MNAT1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.518442601457172	7.38452471043833e-08	4.90316975799889e-07	0.35675045265712	0.000387196893678934	0.00176317756580969	TRUE	support	strong_positive_dosage
ENSG00000020577.14	SAMD4A	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.331923547933074	0.00101603744978413	0.00236602771541725	0.247711171952768	0.0155087351720743	0.0359893466518291	TRUE	support	strong_positive_dosage
ENSG00000020633.19	RUNX3	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.207641526621024	0.0434757527412499	0.0700139042875595	0.340369065199066	0.000738284591443874	0.00296952907982595	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000020922.13	MRE11	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.640011387538588	2.89593588011096e-12	6.94258200974806e-11	0.606078798369868	7.60577273456681e-11	5.97134634130332e-09	TRUE	support	strong_positive_dosage
ENSG00000021300.14	PLEKHB1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.200829490778527	0.0510021549802047	0.0806671240539384	0.206211460523067	0.0449741247561483	0.0866021637044448	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000021355.13	SERPINB1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.19726954343183	0.0553438817702522	0.0868975001374692	-0.010570821270436	0.919018227138455	0.942960287748373	FALSE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000021461.17	CYP3A43	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.253625753114942	0.0131380118729806	0.0239666666532134	0.236972020285762	0.0207678198146452	0.0457411411756391	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000021488.13	SLC7A9	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000021574.13	SPAST	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.454694271583822	3.67608190330315e-06	1.54729740118455e-05	0.399661846691348	6.01026754841867e-05	0.000390682793690649	TRUE	support	strong_positive_dosage
