record_type	model_variant	factor	repeat_id	n	spearman_rho	pearson_r	rmse	median_absolute_error	spearman_min	spearman_max	positive_orientation	outer_folds	inner_folds	selection_rule	summary_statistic	feature_count	rna_squared_weight_mass_fraction
outer_repeat	ridge314_primary	Factor3	11	78	0.865223384210726	0.839769031224597	0.558517854322607	0.397703796342038			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor3	12	78	0.901212711339293	0.871581216924618	0.535655299523361	0.38422249183932			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor3	13	78	0.903362460324485	0.875284679765927	0.52375619350482	0.388024986921187			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor3	14	78	0.906093906093906	0.876714847134016	0.522394722241182	0.363247601460107			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor3	15	78	0.899821697290052	0.875127902459251	0.521197365538655	0.349684665744975			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor3	16	78	0.907080261510641	0.872865853854297	0.523268773505821	0.411987851198788			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor3	17	78	0.89994815311271	0.87948419916958	0.512707803570639	0.386031563965835			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor3	18	78	0.883508896167124	0.854395649427639	0.543505239596157	0.386069105855216			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor3	19	78	0.896103896103896	0.874699259315964	0.523031830229358	0.356282356439805			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor3	20	78	0.883989428293226	0.857424028174446	0.536481800908886	0.390298160919072			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat_summary	ridge314_primary	Factor3		78	0.895547490484199	0.869702599059485	0.531726258194814	0.385127027902578	0.865223384210726	0.907080261510641	TRUE	5	5	median_of_20_repeated_outer_5fold_CV	median_with_min_max	314	
