gene_id	gene_name	tcga_driver_tier	event_type	target_type	target	n_complete	n_event	n_reference	effect_measure	effect	p_value	mutation_evidence_unit	cnv_expression_evidence_unit	distinct_event_unit_count_recomputed	independence_group	independent_validation	analysis_eligible	q_value	level_factor_soft_flag	predictor_feature_selected_in_target_model	target_model_overlap_class	bootstrap_iterations	valid_bootstraps	effect_ci95_low	effect_ci95_high	bootstrap_direction_consistency	association_status	discordance_code	eligible_as_independent_validation
ENSG00000087460.27	GNAS	strong_patient_level_candidate	mutation	MOFA_factor	Factor4	94	4	90	rank-biserial correlation: event minus reference	0.655555555555555	0.0277376763935575	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		TRUE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000148400.12	NOTCH1	strong_patient_level_candidate	amplification	MOFA_factor	Factor6	94	4	90	rank-biserial correlation: event minus reference	0.633333333333333	0.033499113808781	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000148400.12	NOTCH1	strong_patient_level_candidate	amplification	MOFA_factor	Factor5	94	4	90	rank-biserial correlation: event minus reference	0.55	0.0650267676653002	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000141510.18	TP53	strong_patient_level_candidate	amplification	MOFA_factor	Factor8	94	3	91	rank-biserial correlation: event minus reference	0.626373626373626	0.0674925657803087	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000148400.12	NOTCH1	strong_patient_level_candidate	amplification	MOFA_factor	Factor7	94	4	90	rank-biserial correlation: event minus reference	0.544444444444445	0.067798712428923	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000087460.27	GNAS	strong_patient_level_candidate	mutation	MOFA_factor	Factor5	94	4	90	rank-biserial correlation: event minus reference	0.505555555555556	0.0900336337625922	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000087460.27	GNAS	strong_patient_level_candidate	mutation	MOFA_factor	Factor6	94	4	90	rank-biserial correlation: event minus reference	-0.494444444444445	0.0973665466158953	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000141510.18	TP53	strong_patient_level_candidate	amplification	MOFA_factor	Factor6	94	3	91	rank-biserial correlation: event minus reference	0.56043956043956	0.102093775085236	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000074181.9	NOTCH3	strong_patient_level_candidate	amplification	MOFA_factor	Factor3	94	4	90	rank-biserial correlation: event minus reference	-0.461111111111111	0.122257617042001	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000100393.14	EP300	strong_patient_level_candidate	mutation	MOFA_factor	Factor1	94	4	90	rank-biserial correlation: event minus reference	-0.455555555555556	0.12685183036869	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000087460.27	GNAS	strong_patient_level_candidate	mutation	MOFA_factor	Factor3	94	4	90	rank-biserial correlation: event minus reference	0.444444444444444	0.136442229298515	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000141510.18	TP53	strong_patient_level_candidate	amplification	MOFA_factor	Factor7	94	3	91	rank-biserial correlation: event minus reference	0.501831501831502	0.143548427574837	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	amplification	MOFA_factor	Factor3	94	3	91	rank-biserial correlation: event minus reference	-0.465201465201465	0.175369098375823	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000074181.9	NOTCH3	strong_patient_level_candidate	amplification	MOFA_factor	Factor7	94	4	90	rank-biserial correlation: event minus reference	0.383333333333333	0.199449140470967	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000087460.27	GNAS	strong_patient_level_candidate	mutation	MOFA_factor	Factor8	94	4	90	rank-biserial correlation: event minus reference	-0.383333333333333	0.199449140470967	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000100393.14	EP300	strong_patient_level_candidate	mutation	MOFA_factor	Factor4	94	4	90	rank-biserial correlation: event minus reference	-0.377777777777778	0.206089776985139	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		TRUE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000074181.9	NOTCH3	strong_patient_level_candidate	amplification	MOFA_factor	Factor2	94	4	90	rank-biserial correlation: event minus reference	0.372222222222222	0.212889564320506	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000100393.14	EP300	strong_patient_level_candidate	mutation	MOFA_factor	Factor5	94	4	90	rank-biserial correlation: event minus reference	-0.366666666666667	0.219849874146388	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000074181.9	NOTCH3	strong_patient_level_candidate	amplification	MOFA_factor	Factor5	94	4	90	rank-biserial correlation: event minus reference	-0.366666666666667	0.219849874146388	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000148400.12	NOTCH1	strong_patient_level_candidate	amplification	MOFA_factor	Factor1	94	4	90	rank-biserial correlation: event minus reference	-0.344444444444444	0.249320848040645	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000087460.27	GNAS	strong_patient_level_candidate	mutation	MOFA_factor	Factor2	94	4	90	rank-biserial correlation: event minus reference	0.316666666666667	0.289899566495249	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	amplification	MOFA_factor	Factor2	94	3	91	rank-biserial correlation: event minus reference	0.326007326007326	0.343916338032908	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000148400.12	NOTCH1	strong_patient_level_candidate	amplification	MOFA_factor	Factor4	94	4	90	rank-biserial correlation: event minus reference	0.283333333333333	0.344173237591577	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		TRUE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	amplification	MOFA_factor	Factor7	94	3	91	rank-biserial correlation: event minus reference	0.282051282051282	0.413703681933454	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	amplification	MOFA_factor	Factor1	94	3	91	rank-biserial correlation: event minus reference	-0.252747252747253	0.464564216617939	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	amplification	MOFA_factor	Factor6	94	3	91	rank-biserial correlation: event minus reference	0.238095238095238	0.491244218533004	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000074181.9	NOTCH3	strong_patient_level_candidate	amplification	MOFA_factor	Factor8	94	4	90	rank-biserial correlation: event minus reference	-0.177777777777778	0.555157757994667	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000141510.18	TP53	strong_patient_level_candidate	amplification	MOFA_factor	Factor2	94	3	91	rank-biserial correlation: event minus reference	0.201465201465201	0.56138908888847	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	amplification	MOFA_factor	Factor5	94	3	91	rank-biserial correlation: event minus reference	-0.194139194139194	0.575978062936986	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000100393.14	EP300	strong_patient_level_candidate	mutation	MOFA_factor	Factor2	94	4	90	rank-biserial correlation: event minus reference	-0.161111111111111	0.593442610271221	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000141510.18	TP53	strong_patient_level_candidate	amplification	MOFA_factor	Factor5	94	3	91	rank-biserial correlation: event minus reference	-0.157509157509158	0.651472602670172	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000100393.14	EP300	strong_patient_level_candidate	mutation	MOFA_factor	Factor7	94	4	90	rank-biserial correlation: event minus reference	0.133333333333333	0.659795640742834	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000087460.27	GNAS	strong_patient_level_candidate	mutation	MOFA_factor	Factor7	94	4	90	rank-biserial correlation: event minus reference	0.127777777777778	0.673416574633767	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000148400.12	NOTCH1	strong_patient_level_candidate	amplification	MOFA_factor	Factor2	94	4	90	rank-biserial correlation: event minus reference	0.127777777777778	0.673416574633767	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000100393.14	EP300	strong_patient_level_candidate	mutation	MOFA_factor	Factor8	94	4	90	rank-biserial correlation: event minus reference	-0.111111111111111	0.714911014668065	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000074181.9	NOTCH3	strong_patient_level_candidate	amplification	MOFA_factor	Factor4	94	4	90	rank-biserial correlation: event minus reference	-0.105555555555556	0.728939370368321	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		TRUE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	amplification	MOFA_factor	Factor4	94	3	91	rank-biserial correlation: event minus reference	-0.113553113553114	0.746956335000199	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		TRUE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000074181.9	NOTCH3	strong_patient_level_candidate	amplification	MOFA_factor	Factor1	94	4	90	rank-biserial correlation: event minus reference	-0.0888888888888889	0.771554915380092	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000141510.18	TP53	strong_patient_level_candidate	amplification	MOFA_factor	Factor3	94	3	91	rank-biserial correlation: event minus reference	0.098901098901099	0.779757887232259	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000148400.12	NOTCH1	strong_patient_level_candidate	amplification	MOFA_factor	Factor8	94	4	90	rank-biserial correlation: event minus reference	0.0666666666666667	0.829443981499599	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000141510.18	TP53	strong_patient_level_candidate	amplification	MOFA_factor	Factor4	94	3	91	rank-biserial correlation: event minus reference	0.0622710622710623	0.863372428458666	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		TRUE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000141510.18	TP53	strong_patient_level_candidate	amplification	MOFA_factor	Factor1	94	3	91	rank-biserial correlation: event minus reference	0.0476190476190477	0.897308506272889	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
