tcga_gene_id	tcga_gene_name	gencode19_gene_name	paper_patient_id	region_type	n_common_cpg	median_normal_beta	median_tumor_beta	median_delta_beta	mean_delta_beta	delta_beta_iqr	fraction_cpg_higher_in_tumor	fraction_cpg_lower_in_tumor
ENSG00000141579.7	ZNF750	ZNF750	P1	gene_body	253	0.8	0.833333	0.00980399999999989	0.0241998932806324	0.157638	0.521739130434783	0.363636363636364
ENSG00000141579.7	ZNF750	ZNF750	P11	gene_body	253	0.857143	0.75	-0.145833	-0.196877181818182	0.380392	0.173913043478261	0.727272727272727
ENSG00000141579.7	ZNF750	ZNF750	P12	gene_body	253	0.833333	0.818182	-0.00271700000000003	0.0106535494071146	0.211111	0.41501976284585	0.50197628458498
ENSG00000141579.7	ZNF750	ZNF750	P13	gene_body	253	0.833333	0.722222	-0.0833329999999999	-0.119719577075099	0.25564	0.24901185770751	0.644268774703557
ENSG00000141579.7	ZNF750	ZNF750	P2	gene_body	253	0.833333	0.769231	-0.05	-0.0668445691699605	0.241346	0.320158102766798	0.592885375494071
ENSG00000141579.7	ZNF750	ZNF750	P6	gene_body	253	0.8	0.8	-0.055556	-0.0651217509881423	0.271429	0.363636363636364	0.553359683794466
ENSG00000141579.7	ZNF750	ZNF750	P7	gene_body	253	0.8	0.4	-0.3	-0.28793662055336	0.37942	0.0948616600790514	0.853754940711463
ENSG00000141579.7	ZNF750	ZNF750	P8	gene_body	253	0.846154	0.666667	-0.1	-0.120377320158103	0.236842	0.217391304347826	0.66798418972332
ENSG00000141579.7	ZNF750	ZNF750	P9	gene_body	253	0.777778	0.733333	-0.103175	-0.152993920948617	0.354167	0.241106719367589	0.648221343873518
ENSG00000141579.7	ZNF750	ZNF750	P1	promoter	44	0.8585525	0.8708335	0.0312025	0.0392908863636364	0.12592575	0.613636363636364	0.295454545454545
ENSG00000141579.7	ZNF750	ZNF750	P11	promoter	44	0.87451	0.732143	-0.1404155	-0.194203863636364	0.4108895	0.227272727272727	0.681818181818182
ENSG00000141579.7	ZNF750	ZNF750	P12	promoter	44	0.8973685	0.8564105	0	0.0290965454545455	0.164417	0.431818181818182	0.431818181818182
ENSG00000141579.7	ZNF750	ZNF750	P13	promoter	44	0.8786765	0.6666665	-0.136184	-0.163704363636364	0.2987185	0.204545454545455	0.704545454545455
ENSG00000141579.7	ZNF750	ZNF750	P2	promoter	44	0.848077	0.8257575	0	-0.0590426363636364	0.181274	0.363636363636364	0.477272727272727
ENSG00000141579.7	ZNF750	ZNF750	P6	promoter	44	0.8583335	0.8210525	-0.1281105	-0.151059613636364	0.320536	0.159090909090909	0.681818181818182
ENSG00000141579.7	ZNF750	ZNF750	P7	promoter	44	0.8535715	0.6333335	-0.185065	-0.211563204545455	0.40890425	0.136363636363636	0.727272727272727
ENSG00000141579.7	ZNF750	ZNF750	P8	promoter	44	0.875	0.767857	-0.0272725	-0.138390363636364	0.37132825	0.340909090909091	0.5
ENSG00000141579.7	ZNF750	ZNF750	P9	promoter	44	0.8460525	0.807353	-0.0878849999999999	-0.175864045454545	0.438745	0.204545454545455	0.636363636363636
ENSG00000074181.9	NOTCH3	NOTCH3	P1	gene_body	452	0.902381	0.8708335	0	-0.00825191371681416	0.152962	0.384955752212389	0.471238938053097
ENSG00000074181.9	NOTCH3	NOTCH3	P11	gene_body	452	0.875	0.833333	-0.00349649999999997	-0.0529487876106195	0.198413	0.31858407079646	0.5
ENSG00000074181.9	NOTCH3	NOTCH3	P12	gene_body	452	0.888889	0.866667	0	-0.00540824778761061	0.15663325	0.422566371681416	0.466814159292035
ENSG00000074181.9	NOTCH3	NOTCH3	P13	gene_body	452	0.888889	0.8535715	-0.0408935	-0.0563244004424779	0.17869225	0.29424778761062	0.555309734513274
ENSG00000074181.9	NOTCH3	NOTCH3	P2	gene_body	452	0.857143	0.9	0	0.0243485	0.169147	0.473451327433628	0.367256637168142
ENSG00000074181.9	NOTCH3	NOTCH3	P6	gene_body	452	0.888889	0.875	0	0.00200632743362831	0.18357725	0.398230088495575	0.396017699115044
ENSG00000074181.9	NOTCH3	NOTCH3	P7	gene_body	452	0.888889	0.833333	-0.0345235	-0.0800056150442478	0.22199625	0.316371681415929	0.553097345132743
ENSG00000074181.9	NOTCH3	NOTCH3	P8	gene_body	452	0.857143	0.904762	0.00338500000000003	0.0362172411504425	0.18121075	0.502212389380531	0.345132743362832
ENSG00000074181.9	NOTCH3	NOTCH3	P9	gene_body	452	0.888889	0.916667	0	0.0252869845132743	0.1678575	0.45353982300885	0.356194690265487
ENSG00000074181.9	NOTCH3	NOTCH3	P1	promoter	48	0.8516485	0.7735045	-0.060662	-0.0520728541666667	0.11458325	0.208333333333333	0.604166666666667
ENSG00000074181.9	NOTCH3	NOTCH3	P11	promoter	48	0.8786765	0.777778	-0.0634925000000001	-0.070211375	0.15705125	0.229166666666667	0.604166666666667
ENSG00000074181.9	NOTCH3	NOTCH3	P12	promoter	48	0.840336	0.833333	0	-0.0268474375	0.1244085	0.3125	0.4375
ENSG00000074181.9	NOTCH3	NOTCH3	P13	promoter	48	0.8708335	0.7738095	-0.00416649999999997	-0.0438968958333333	0.1209795	0.291666666666667	0.5
ENSG00000074181.9	NOTCH3	NOTCH3	P2	promoter	48	0.8660715	0.6794875	-0.055728	-0.0963598541666667	0.2532895	0.1875	0.5625
ENSG00000074181.9	NOTCH3	NOTCH3	P6	promoter	48	0.8257575	0.857143	0.012597	0.04478	0.1882355	0.520833333333333	0.3125
ENSG00000074181.9	NOTCH3	NOTCH3	P7	promoter	48	0.8273025	0.7309525	-0.01631	-0.0621444583333333	0.18597225	0.208333333333333	0.520833333333333
ENSG00000074181.9	NOTCH3	NOTCH3	P8	promoter	48	0.803828	0.8583335	0	0.00859385416666668	0.0791760000000001	0.458333333333333	0.270833333333333
ENSG00000074181.9	NOTCH3	NOTCH3	P9	promoter	48	0.8395835	0.882353	0	0.027904375	0.13699475	0.395833333333333	0.3125
ENSG00000185920.16	PTCH1	PTCH1	P1	gene_body	913	0.884615	0.894737	0	0.0151182070098576	0.145781	0.486308871851041	0.407447973713034
ENSG00000185920.16	PTCH1	PTCH1	P11	gene_body	913	0.857143	0.8	-0.0416670000000001	-0.096682830230011	0.323178	0.371303395399781	0.547645125958379
ENSG00000185920.16	PTCH1	PTCH1	P12	gene_body	913	0.9	0.866667	-0.0113639999999999	-0.0245051894852136	0.148611	0.368017524644031	0.524644030668127
ENSG00000185920.16	PTCH1	PTCH1	P13	gene_body	913	0.894737	0.809524	-0.0625	-0.0790079529025192	0.208626	0.272727272727273	0.616648411829135
ENSG00000185920.16	PTCH1	PTCH1	P2	gene_body	913	0.869565	0.904762	0.0242910000000001	0.0406985202628697	0.149831	0.546549835706462	0.331872946330778
ENSG00000185920.16	PTCH1	PTCH1	P6	gene_body	913	0.84	0.888889	0.0389609999999999	0.053322169769989	0.170905	0.559693318729463	0.323110624315444
ENSG00000185920.16	PTCH1	PTCH1	P7	gene_body	913	0.894737	0.866667	-0.0202019999999999	-0.0459125947426068	0.168077	0.349397590361446	0.533406352683461
ENSG00000185920.16	PTCH1	PTCH1	P8	gene_body	913	0.857143	0.9	0.0343140000000001	0.0539285815991238	0.158334	0.569550930996714	0.331872946330778
ENSG00000185920.16	PTCH1	PTCH1	P9	gene_body	913	0.888889	0.9	0	0.0212219058050383	0.157576	0.472070098576123	0.39539978094195
ENSG00000185920.16	PTCH1	PTCH1	P1	promoter	20	0.6541355	0.8603895	0.015121	0.07304295	0.23075825	0.5	0.35
ENSG00000185920.16	PTCH1	PTCH1	P11	promoter	20	0.4842105	0.4142855	0	-0.00186475	0.19024625	0.4	0.4
ENSG00000185920.16	PTCH1	PTCH1	P12	promoter	20	0.709895	0.4330355	-0.069048	-0.11181705	0.272948	0.25	0.65
ENSG00000185920.16	PTCH1	PTCH1	P13	promoter	20	0.75	0.66875	-0.087619	-0.05657815	0.1497755	0.3	0.6
ENSG00000185920.16	PTCH1	PTCH1	P2	promoter	20	0.53125	0.7083335	0.1020835	0.1251854	0.33162775	0.65	0.25
ENSG00000185920.16	PTCH1	PTCH1	P6	promoter	20	0.703297	0.7416665	0	0.01296095	0.1100485	0.4	0.3
ENSG00000185920.16	PTCH1	PTCH1	P7	promoter	20	0.857143	0.845238	0	0.0633956	0.139596	0.45	0.25
ENSG00000185920.16	PTCH1	PTCH1	P8	promoter	20	0.5992065	0.641026	0	0.0145583	0.20952375	0.4	0.4
ENSG00000185920.16	PTCH1	PTCH1	P9	promoter	20	0.527778	0.916667	0.2261905	0.2273698	0.50252575	0.65	0.25
ENSG00000100393.14	EP300	EP300	P1	gene_body	746	0.9375	0.941176	0	0.0245241474530831	0.1248855	0.446380697050938	0.324396782841823
ENSG00000100393.14	EP300	EP300	P11	gene_body	746	0.939338	0.869565	-0.0625	-0.0966380254691689	0.161146	0.197050938337802	0.684986595174263
ENSG00000100393.14	EP300	EP300	P12	gene_body	746	0.9375	0.933333	0	0.00534732439678285	0.129167	0.392761394101877	0.353887399463807
ENSG00000100393.14	EP300	EP300	P13	gene_body	746	1	0.916667	-0.0180195000000001	-0.0536281554959786	0.1203865	0.234584450402145	0.524128686327078
ENSG00000100393.14	EP300	EP300	P2	gene_body	746	0.923077	0.941176	0	0.0162544410187668	0.121367	0.446380697050938	0.319034852546917
ENSG00000100393.14	EP300	EP300	P6	gene_body	746	0.928571	0.928571	0	-0.00201783378016086	0.122223	0.369973190348526	0.415549597855228
ENSG00000100393.14	EP300	EP300	P7	gene_body	746	0.9375	0.911067	0	-0.0329758056300268	0.134075	0.319034852546917	0.470509383378016
ENSG00000100393.14	EP300	EP300	P8	gene_body	746	0.928571	0.923077	0	-0.000298821715817693	0.12911925	0.371313672922252	0.39142091152815
ENSG00000100393.14	EP300	EP300	P9	gene_body	746	0.941176	0.944444	0	0.00340527345844503	0.12457975	0.376675603217158	0.341823056300268
ENSG00000100393.14	EP300	EP300	P1	promoter	38	0.901914	0.746032	0	-0.0321247368421053	0.0791665	0.184210526315789	0.421052631578947
ENSG00000100393.14	EP300	EP300	P11	promoter	38	0.8944445	0.815341	0	-0.0366585789473684	0.0625	0.210526315789474	0.394736842105263
ENSG00000100393.14	EP300	EP300	P12	promoter	38	0.8997495	0.895722	0	0.00462515789473684	0.078205	0.289473684210526	0.315789473684211
ENSG00000100393.14	EP300	EP300	P13	promoter	38	0.8516485	0.832817	0	-0.0128828684210526	0.064286	0.210526315789474	0.473684210526316
ENSG00000100393.14	EP300	EP300	P2	promoter	38	0.857143	0.916084	0	0.00748305263157894	0.0641565	0.315789473684211	0.236842105263158
ENSG00000100393.14	EP300	EP300	P6	promoter	38	0.833333	0.9	0	0.0244265789473684	0.021678	0.289473684210526	0.184210526315789
ENSG00000100393.14	EP300	EP300	P7	promoter	38	0.888889	0.7846155	0	-0.0298673684210526	0.11481475	0.289473684210526	0.394736842105263
ENSG00000100393.14	EP300	EP300	P8	promoter	38	0.8165265	0.907843	0	0.0292959210526316	0.0656252500000001	0.394736842105263	0.184210526315789
ENSG00000100393.14	EP300	EP300	P9	promoter	38	0.921212	0.8990385	0	-0.00688734210526315	0.061581	0.236842105263158	0.342105263157895
ENSG00000087460.27	GNAS	GNAS	P1	gene_body	1042	0.6306045	0.6396105	0	-0.00257526967370446	0.258333	0.439539347408829	0.465451055662188
ENSG00000087460.27	GNAS	GNAS	P11	gene_body	1042	0.627315	0.6830145	0	0.00890710460652591	0.307011	0.486564299424184	0.46257197696737
ENSG00000087460.27	GNAS	GNAS	P12	gene_body	1042	0.625	0.642857	0	-0.00073220057581572	0.195238	0.466410748560461	0.442418426103647
ENSG00000087460.27	GNAS	GNAS	P13	gene_body	1042	0.6	0.571429	-0.0446575	-0.0511550470249519	0.33410075	0.369481765834933	0.549904030710173
ENSG00000087460.27	GNAS	GNAS	P2	gene_body	1042	0.631579	0.681818	0	-0.0246286967370442	0.22734825	0.428023032629559	0.488483685220729
ENSG00000087460.27	GNAS	GNAS	P6	gene_body	1042	0.6	0.625	-0.014286	-0.0199240307101728	0.2807895	0.416506717850288	0.521113243761996
ENSG00000087460.27	GNAS	GNAS	P7	gene_body	1042	0.642857	0.444444	-0.112711	-0.154563400191939	0.39698175	0.286948176583493	0.648752399232246
ENSG00000087460.27	GNAS	GNAS	P8	gene_body	1042	0.625	0.6	-0.022565	-0.035791368522073	0.26602525	0.407869481765835	0.530710172744722
ENSG00000087460.27	GNAS	GNAS	P9	gene_body	1042	0.625	0.733333	0.05	0.060844736084453	0.2625	0.569097888675624	0.354126679462572
ENSG00000087460.27	GNAS	GNAS	P1	promoter	57	0.6	0.533333	-0.0833329999999999	-0.0886775964912281	0.305042	0.385964912280702	0.56140350877193
ENSG00000087460.27	GNAS	GNAS	P11	promoter	57	0.538462	0.115385	-0.266666	-0.261432315789474	0.366884	0.157894736842105	0.807017543859649
ENSG00000087460.27	GNAS	GNAS	P12	promoter	57	0.6	0.615385	-0.055556	-0.0669231578947369	0.241667	0.403508771929825	0.578947368421053
ENSG00000087460.27	GNAS	GNAS	P13	promoter	57	0.5	0.571429	0.0666670000000001	0.0135871754385964	0.33762	0.578947368421053	0.421052631578947
ENSG00000087460.27	GNAS	GNAS	P2	promoter	57	0.6	0.714286	0.133333	0.097563701754386	0.296506	0.649122807017544	0.298245614035088
ENSG00000087460.27	GNAS	GNAS	P6	promoter	57	0.416667	0.555556	0.128788	0.100798280701754	0.222727	0.701754385964912	0.245614035087719
